Country,Cardholders_Affected
Australia,27
Brazil,27
Canada,18
China,31
France,24
Germany,14
India,32
Indonesia,13
Italy,16
Mexico,28
New_Zealand,15
Poland,15
Russia,19
Singapore,25
South_Africa,25
Sweden,8
The_Netherlands,10
United_Arab_Emirates,39
United_Kingdom,25
United_States,36
