Percent_Distance_Enrollment
16
16.4
48.2
9.2
6.3
19.4
6.8
6.9
8.4
16.1
9.6
11
12.6
10.1
11.2
39.7
16.3
19.7
4.1
13.4
14.4
5.9
7.2
29.2
9.1
12.2
6.3
16.9
9.8
17.6
7.4
12.9
6.1
11.4
22.9
9.6
10.8
8.9
7.8
1.6
5.9
20.9
6.1
8.9
22
10
18.6
7.5
40
7.6
11.2
